x,y,yaw
5.163708961471250802e+00,8.000328120400343579e+00,-1.582522362336854282e+00
5.160330121374268941e+00,7.885370596516052544e+00,-1.588868825963241083e+00
5.156951281277287080e+00,7.770413072631761509e+00,-1.595215289589627661e+00
5.153572441180305219e+00,7.655455548747470473e+00,-1.601561753216014461e+00
5.150193601083323358e+00,7.540498024863179438e+00,-1.607908216842401039e+00
5.146814760986341497e+00,7.425540500978888403e+00,-1.614254680468787839e+00
5.140431674395513184e+00,7.303332877341839335e+00,-1.617607359933296074e+00
5.133920747528351036e+00,7.180816738821694578e+00,-1.620832644327085958e+00
5.127409820661188888e+00,7.058300600301548933e+00,-1.624057928720875843e+00
5.120898893794026741e+00,6.935784461781404175e+00,-1.627283213114665950e+00
5.114387966926864593e+00,6.813268323261258530e+00,-1.630508497508455834e+00
5.106413708924887551e+00,6.684712009702098889e+00,-1.631402072125341496e+00
5.098309377044261126e+00,6.555618791695026815e+00,-1.632088383650946772e+00
5.090205045163633812e+00,6.426525573687955628e+00,-1.632774695176552049e+00
5.082100713283007387e+00,6.297432355680882665e+00,-1.633461006702157103e+00
5.073996381402380074e+00,6.168339137673810590e+00,-1.634147318227762380e+00
5.065844027071952915e+00,6.034335544023186948e+00,-1.632917462709081668e+00
5.057684971934577334e+00,5.899646781678113960e+00,-1.631420235044686695e+00
5.049525916797201752e+00,5.764958019333040973e+00,-1.629923007380291500e+00
5.041366861659825283e+00,5.630269256987967985e+00,-1.628425779715896526e+00
5.033207806522449701e+00,5.495580494642894998e+00,-1.626928552051501331e+00
5.026290430946270149e+00,5.357031030731455701e+00,-1.623772247624144960e+00
5.019615334308861421e+00,5.217728259197309981e+00,-1.620292220901576652e+00
5.012940237671452692e+00,5.078425487663164262e+00,-1.616812194179008566e+00
5.006265141034043076e+00,4.939122716129019430e+00,-1.613332167456440258e+00
4.999590044396634347e+00,4.799819944594874599e+00,-1.609852140733871950e+00
4.995320722657401902e+00,4.657626020253266219e+00,-1.604867394914071932e+00
4.991668266276675148e+00,4.514690774678974172e+00,-1.599496823684725344e+00
4.988015809895949282e+00,4.371755529104683013e+00,-1.594126252455378756e+00
4.984363353515222528e+00,4.228820283530391855e+00,-1.588755681226031946e+00
4.980710897134496662e+00,4.085885037956100696e+00,-1.583385109996685358e+00
4.980502704314908158e+00,3.940948063014970693e+00,-1.576598346554373808e+00
4.981411569947579387e+00,3.795361878549459167e+00,-1.569352277529478812e+00
4.982320435580251505e+00,3.649775694083948085e+00,-1.562106208504583815e+00
4.983229301212922735e+00,3.504189509618437448e+00,-1.554860139479688819e+00
4.984138166845594853e+00,3.358603325152926367e+00,-1.547614070454793822e+00
4.989368394206119106e+00,3.211829993711313946e+00,-1.539325943309665101e+00
4.996327166257784391e+00,3.064581803479260014e+00,-1.530620992916442713e+00
5.003285938309449676e+00,2.917333613247205637e+00,-1.521916042523220547e+00
5.010244710361114961e+00,2.770085423015152593e+00,-1.513211092129998381e+00
5.017203482412780247e+00,2.622837232783098216e+00,-1.504506141736775993e+00
5.028175902623456039e+00,2.475292767571197761e+00,-1.497113231817350121e+00
5.041094334062742988e+00,2.327604653884221442e+00,-1.490356462733704257e+00
5.054012765502029936e+00,2.179916540197243791e+00,-1.483599693650058393e+00
5.066931196941316884e+00,2.032228426510266583e+00,-1.476842924566412529e+00
5.079849628380603832e+00,1.884540312823289820e+00,-1.470086155482766666e+00
5.095304627046795432e+00,1.737520805056984141e+00,-1.464908109756788646e+00
5.112232471199575912e+00,1.590889520083327291e+00,-1.460646742109456664e+00
5.129160315352357280e+00,1.444258235109669330e+00,-1.456385374462124460e+00
5.146088159505137760e+00,1.297626950136011370e+00,-1.452124006814792478e+00
5.163016003657919128e+00,1.150995665162354520e+00,-1.447862639167460497e+00
5.181099326846108966e+00,1.005885017664115422e+00,-1.445035387320919629e+00
5.199979532127684934e+00,8.618230856661659445e-01,-1.443197180854234540e+00
5.218859737409260902e+00,7.177611536682153570e-01,-1.441358974387549674e+00
5.237739942690835981e+00,5.736992216702648806e-01,-1.439520767920864586e+00
5.256620147972411949e+00,4.296372896723152923e-01,-1.437682561454179719e+00
5.275442666676245729e+00,2.878245553361723497e-01,-1.437233400364681168e+00
